app|big|mid|small|category|brand|item_name|market_price|sale_price|discount_price|date|item_specification|act
Home|家電|洗衣機|洗衣機周邊|洗衣機濾網|Dr.AV 聖岡科技|【Dr.AV 聖岡科技】NP-009 三洋 SYL-1 洗衣機專用濾網(大)|299|189|170|20221204|品牌名稱Dr.AV聖岡科技產地中國大陸 |12/01~12/31家電搶go潮▼限時下殺滿1件享9折|null
Home|家電|冰箱|找款式|1級能效|Panasonic 國際牌|【Panasonic 國際牌】500公升三門變頻冰箱雅士白(NR-C501XV-W)|49900|38900|34232|20221204|品牌名稱Panasonic國際牌類型三門右開變頻容量401L~500L顏色白色效能1級能效 |null|null
Home|家電|冰箱|找容量|201L-300L|SANLUX 台灣三洋|【SANLUX 台灣三洋】210公升一級能效變頻雙門冰箱(SR-C210BV1A)|17390|15200|null|20221204|品牌名稱SANLUX台灣三洋類型雙門上下門右開變頻容量201L~250L顏色棕色/咖啡色效能1級能效 |null|null
Home|家電|洗衣機|洗衣機周邊|洗衣機濾網| |【洗衣機過濾網】東芝/東元牌 TOB-3單槽 NP-012(3入組)|750|225|202|20221204|品牌名稱產地其他 |12/01~12/31家電搶go潮▼限時下殺滿1件享9折|null
Home|家電|冰櫃/冷凍櫃|找款式|直立式|SAMPO 聲寶|【SAMPO 聲寶】1+1超值組 391公升自動除霜定頻直立式冷凍櫃+無線無刷馬達吸塵器(SRF-390F+EC-H15UND)|27280|26280|19980|20221204|品牌名稱SAMPO聲寶類型單門右開冷凍櫃直立式容量351L~400L顏色白色功能自動除霜 |組合限定下殺▼滿1件折6300|null
Home|家電|冰箱|SAMPO聲寶|301-600公升|SAMPO 聲寶|【SAMPO 聲寶】370公升一級能效變頻雙門冰箱(SR-C37D-K5)|29900|22900|null|20221204|品牌名稱SAMPO聲寶類型雙門上下門右開變頻容量351L~400L顏色黑色金色效能1級能效 |null|null
Home|家電|洗衣機|洗衣機周邊|洗衣機配件|Dr.AV 聖岡科技|【Dr.AV 聖岡科技】60-168cm可裁剪洗衣機/水槽伸縮排水管2入組(KWM-6B)|559|359|null|20221204|品牌名稱Dr.AV聖岡科技產地中國大陸 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|SAMPO 聲寶|【SAMPO 聲寶】560公升一級能效AIE全平面玻璃系列變頻右開四門冰箱(SR-A56GDD-Y7)|42900|34900|null|20221204|品牌名稱SAMPO聲寶類型四門右開變頻容量501L~600L顏色金色效能1級能效 |null|null
Home|家電|冰箱|找款式|1級能效|MITSUBISHI 三菱電機|【MITSUBISHI 三菱電機】455L一級能效變頻五門電冰箱(MR-B46F)|65900|59900|53910|20221204|品牌名稱MITSUBISHI三菱電機類型五門右開變頻容量401L~500L顏色白色灰色效能1級能效 |12/01~12/31歲末搶GO！年末最後一波滿1件享9折|null
Home|家電|冰箱|品牌旗艦館|全商品|SAMPO 聲寶|領券折：V4AAIJJKDM13【聲寶】◆530公升一級能效極光鈦AIE全平面玻璃系列變頻右開三門冰箱(SR-C53GDV-Y3)|38900|34989|null|20221204|品牌名稱SAMPO聲寶類型三門右開變頻容量501L~600L顏色金色效能1級能效 |null|null
Home|家電|洗衣機|洗衣機周邊|洗衣機濾網| |【洗衣機濾網】夏普FT-SJ1洗衣機棉絮袋濾網(NP-016)|299|148|null|20221204|品牌名稱產地台灣 |null|null
Home|家電|冰箱|找價格|$30000以下|Panasonic 國際牌|【Panasonic 國際牌】385公升三門變頻冰箱(NR-C389HV)|null|32800|28864|20221204|品牌名稱Panasonic國際牌類型三門右開變頻容量351L~400L顏色藍色效能1級能效 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|BOSCH 博世|【BOSCH 博世】324L二級效能自選門向單門上冷藏237L下冷凍87L彩色冰箱(KGN36IJ3AD 雅士藍)|null|72900|null|20221204|品牌名稱BOSCH博世類型雙門上下門可換左開定頻容量301L~350L顏色多色效能2級能效 |null|null
Home|家電|洗衣機|洗衣機周邊|洗衣機濾網| |【洗衣機過濾網】聲寶洗衣機濾網-有塑灰殼內崁大 S-27(3入組)|600|340|306|20221204|品牌名稱產地其他 |12/01~12/31家電搶go潮▼限時下殺滿1件享9折|null
Home|家電|冰箱|品牌旗艦館|GE奇異|GE 奇異|【GE 奇異】702L薄型對開門冰箱(GZS22DGWW)|160000|151212|null|20221204|品牌名稱GE奇異類型雙門對開對開定頻容量601L~800L顏色白色效能無能效標章 |null|null
Home|家電|乾衣機/電子衣櫥|電力型乾衣機電壓|220V|Blomberg 博朗格|【Blomberg 博朗格】8公斤歐規全新熱泵式雙Ai智能控制變頻滾筒乾衣機(TPF8352WZ)|39800|37000|null|20221204|品牌名稱Blomberg博朗格類型220V220V轉110V電動重量6kg~10kg內槽材質全不鏽鋼顏色白色產地土耳其 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|SANLUX 台灣三洋|【SANLUX 台灣三洋】◆528公升一級能效變頻三門冰箱(SR-C528CV1A)|32800|29500|null|20221204|品牌名稱SANLUX台灣三洋類型三門右開變頻容量501L~600L顏色銀色效能1級能效 |null|null
Home|家電|洗衣機|洗衣機功能|蒸氣功能|LG 樂金|【LG 樂金】17公斤◆蒸氣變頻直立式洗衣機(WT-SD179HVG)|27900|25900|23310|20221204|品牌名稱LG樂金類型110V變頻單槽重量16kg~20kg內槽材質不鏽鋼+塑料顏色銀色產地韓國功能洗脫功能蒸氣功能 |null|null
Home|家電|冰箱|TECO東元|301-600公升|TECO 東元|1+1特惠組【TECO 東元】480L一級能效變頻雙門冰箱+全能電子鍋(R4892XHK + YC0408CB)|31900|27780|23790|20221204|品牌名稱TECO東元類型雙門上下門右開變頻容量401L~500L顏色銀色效能1級能效 |1+1一起帶最划算滿1件折3990|null
Home|家電|洗衣機|洗衣機周邊|洗衣機濾網|Dr.AV 聖岡科技|【Dr.AV 聖岡科技】東元雙槽_小_洗衣機濾網|199|125|112|20221204|品牌名稱Dr.AV聖岡科技產地中國大陸 |12/01~12/31家電搶go潮▼限時下殺滿1件享9折|null
Home|家電|冰箱|品牌旗艦館|全商品|Panasonic 國際牌|【Panasonic 國際牌】610L一級能效三門變頻nanoeX電冰箱(NR-C611XGS)|47900|45800|40304|20221204|品牌名稱Panasonic國際牌類型三門右開變頻容量601L~800L顏色棕色/咖啡色金色效能1級能效 |null|null
Home|家電|洗衣機|洗衣機容量|16-20公斤|TAIGA 大河|【TAIGA 大河】16KG全自動單槽洗脫直立式洗衣機(CB1058)|20800|14900|null|20221204|品牌名稱TAIGA大河類型110V定頻單槽重量16kg~20kg內槽材質不鏽鋼+塑料顏色灰色產地中國大陸功能洗脫功能 |null|null
Home|家電|冰箱|國際牌|601公升↑|Panasonic 國際牌|【Panasonic 國際牌】650公升一級能效六門變頻冰箱-鑽石黑(NR-F658WX-X1)|99900|98900|89010|20221204|品牌名稱Panasonic國際牌類型六門對開變頻容量601L~800L顏色灰色效能1級能效 |國際牌★年末感恩！最後下殺滿1件享9折|null
Home|家電|冰箱|品牌旗艦館|全商品|LG 樂金|【家電速配★LG 樂金】335公升一級能效變頻右開雙門冰箱(GN-L332BS)|null|25900|23310|20221204|品牌名稱LG樂金類型雙門上下門右開變頻容量301L~350L顏色黑色效能1級能效 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|Panasonic 國際牌|【Panasonic 國際牌】422L雙門變頻電冰箱曜石棕(NR-B421TG-T)|39900|26900|23672|20221204|品牌名稱Panasonic國際牌類型雙門上下門右開變頻容量401L~500L顏色棕色/咖啡色效能1級能效 |null|null
Home|家電|冰櫃/冷凍櫃|找款式|窄身|HERAN 禾聯|【HERAN 禾聯】235公升四星急凍直立式窄身冷凍櫃(HFZ-B2451)|16000|14500|null|20221204|品牌名稱HERAN禾聯類型單門右開冷凍櫃直立式容量201L~250L顏色白色功能手動除霜 |null|null
Home|家電|洗衣機|洗衣機類型|單槽洗衣機|BOSCH 博世|【BOSCH 博世】10公斤智慧精算滾筒式洗衣機(WAU28668TC)|65000|49900|null|20221204|品牌名稱BOSCH博世類型110V變頻單槽重量6kg~10kg內槽材質全不鏽鋼顏色銀色產地中國大陸功能洗脫功能 |null|null
Home|家電|冰箱|找款式|五門以上|MITSUBISHI 三菱電機|【MITSUBISHI 三菱電機】705L日製玻璃鏡面變頻六門冰箱(MR-WX71C-W-C  水晶白)|null|109900|null|20221204|品牌名稱MITSUBISHI三菱電機類型六門對開變頻容量601L~800L顏色白色效能無能效標章 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|Panasonic 國際牌|【Panasonic 國際牌】600公升 一級能效日製對開六門無邊框玻璃冰箱(NR-F607HX-N1)|85900|82900|72952|20221204|品牌名稱Panasonic國際牌類型六門對開變頻容量501L~600L顏色金色效能1級能效 |null|null
Home|家電|洗衣機|洗衣機類型|攜帶式洗衣機| |【阪洋】洗衣機 迷你折疊小型洗衣機(藍光殺菌 折疊 迷你 旅行 便攜洗衣機  宿舍 家用)|2999|2374|2136|20221204|品牌名稱產地中國大陸 |12/01~12/31家電搶go潮▼限時下殺滿1件享9折|null
Home|家電|洗衣機|洗衣機周邊|洗衣機濾網| |【洗衣機過濾網】三洋牌 SYL-1  大 NP-009(3入組)|500|225|202|20221204|品牌名稱產地其他 |12/01~12/31家電搶go潮▼限時下殺滿1件享9折|null
Home|品牌旗艦|SANLUX台灣三洋|冰箱/冷凍櫃|全部商品|SANLUX 台灣三洋|【SANLUX 台灣三洋】208公升冷凍櫃(SCF-208GE)|12900|11334|null|20221204|品牌名稱SANLUX台灣三洋類型單門上掀冷凍櫃臥式容量201L~250L顏色白色功能手動除霜 |null|null
Home|家電|冰櫃/冷凍櫃|找容量|101L-200L|SANLUX 台灣三洋|【SANLUX 台灣三洋】直立式181公升冷凍櫃(SCR-181AE)|12900|11556|null|20221204|品牌名稱SANLUX台灣三洋類型單門右開冷凍櫃直立式容量151L~200L顏色灰色功能手動除霜 |null|null
Home|家電|冰箱|國際牌|301-600公升|Panasonic 國際牌|【Panasonic 國際牌】500L一級能效四門變頻電冰箱(NR-D501XV-B)|43900|41800|36784|20221204|品牌名稱Panasonic國際牌類型四門對開變頻容量401L~500L顏色藍色效能1級能效 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|Panasonic 國際牌|【Panasonic 國際牌】500L一級能效四門變頻nanoeX電冰箱(NR-D501XGS)|48900|46800|41184|20221204|品牌名稱Panasonic國際牌類型四門對開變頻容量401L~500L顏色白色棕色/咖啡色效能1級能效 |null|null
Home|家電|洗衣機|洗衣機類型|定頻系列|Kolin 歌林|【Kolin 歌林】16公斤單槽全自動洗衣機(BW-16S03)|16900|12400|null|20221204|品牌名稱Kolin歌林類型110V定頻單槽重量16kg~20kg內槽材質不鏽鋼+塑料顏色白色產地中國大陸功能洗脫功能 |null|null
Home|家電|酒櫃|品牌|DIVIN| |【DIVIN】DV-589TS 可嵌入單門三溫葡萄酒櫃(145瓶750mL波爾多標準瓶)|null|125000|null|20221204|品牌名稱包裝組合48瓶以上類型單門可換右開顏色銀色 |null|null
Home|品牌旗艦|SANLUX台灣三洋|冰箱/冷凍櫃|全部商品|SANLUX 台灣三洋|【SANLUX 台灣三洋】100公升超低溫冷凍櫃(TFS-100G)|58900|49900|null|20221204|品牌名稱SANLUX台灣三洋類型單門上掀冷凍櫃臥式容量51L~100L顏色白色功能手動除霜 |null|null
Home|家電|洗衣機|洗衣機功能|洗脫系列|ASKO 雅士高|【ASKO 雅士高】11公斤變頻滾筒式洗衣機(W8844/220V)|98000|89999|null|20221204|品牌名稱ASKO雅士高類型220V變頻單槽重量11kg~15kg內槽材質全不鏽鋼顏色白色產地其他功能洗脫功能 |null|null
Home|家電|滾筒洗衣機|洗衣機功能|洗脫系列|Panasonic 國際牌|【Panasonic 國際牌】18KG變頻滾筒洗脫洗衣機(NA-V180HW-W)|49900|37900|33352|20221204|品牌名稱Panasonic國際牌類型110V變頻單槽重量16kg~20kg內槽材質不鏽鋼+塑料顏色白色產地其他功能洗脫功能溫水洗淨 |null|null
Home|家電|洗衣機|品牌旗艦館|東芝|TOSHIBA 東芝|【TOSHIBA 東芝】10公斤定頻直立洗衣機薰衣草紫AW-B1075G(WL)|null|12900|11352|20221204|品牌名稱TOSHIBA東芝類型110V定頻單槽重量6kg~10kg內槽材質不鏽鋼+塑料顏色白色產地泰國功能洗脫功能 |12/01~12/31決戰雙12▼品牌限時加碼滿1件享88折|null
Home|家電|冰櫃/冷凍櫃|儲酒櫃|18瓶|Frigidaire 富及第|【Frigidaire富及第】Dual-zone 18瓶裝質感雙溫酒櫃 FWC-WD18F(領券現折)|29900|18900|null|20221204|品牌名稱Frigidaire富及第包裝組合18瓶類型單門右開顏色黑色 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|HITACHI 日立|【HITACHI 日立】676L 一級能效日製變頻六門冰箱(RXG680NJ-XN)|97900|94900|87308|20221204|品牌名稱HITACHI日立類型六門對開變頻容量601L~800L顏色金色效能1級能效 |▼日立年終狂歡下殺▼滿1件享92折|null
Home|家電|洗衣機|洗衣機周邊|洗衣機濾網|Dr.AV 聖岡科技|【Dr.AV 聖岡科技】NP-007 東芝/東元單槽 洗衣機專用濾網(TOB)|299|189|170|20221204|品牌名稱Dr.AV聖岡科技產地台灣 |12/01~12/31家電搶go潮▼限時下殺滿1件享9折|null
Home|家電|乾衣機/電子衣櫥|乾衣機配件|全系列|TEW 台熱牌|【TEW 台熱牌】萬里晴乾衣機專用替換門橡圈(飛盤型)|649|599|null|20221204|品牌名稱TEW台熱牌產地台灣 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|GE 奇異|【GE 奇異】733L大容量對開冰箱+濾心組(防指紋不銹鋼GSS25GYPFS+濾心XWFE)|119900|109121|null|20221204|品牌名稱GE奇異類型雙門對開對開定頻容量601L~800L顏色銀色效能無能效標章 |null|null
Home|家電|冰箱|品牌旗艦館|Mobicool|Mobicool|【Mobicool】電子式行動迷你冰箱MBF20PS 白色款(家用/車用)|10900|4999|null|20221204|品牌名稱Mobicool類型單門右開容量0L~50L顏色白色 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|HITACHI 日立|【HITACHI 日立】313L一級能效變頻右開雙門冰箱(RBX330-X)|30900|27900|25668|20221204|品牌名稱HITACHI日立類型雙門上下門右開變頻容量301L~350L顏色銀色效能1級能效 |▼日立年終狂歡下殺▼滿1件享92折|null
Home|家電|洗衣機|洗衣機周邊|洗衣機濾網| |【洗衣機過濾網】東元洗衣機濾網 小 S-06(3入組)|600|225|202|20221204|品牌名稱產地中國大陸 |12/01~12/31家電搶go潮▼限時下殺滿1件享9折|null
Home|家電|洗衣機|品牌旗艦館|Kolin歌林|Kolin 歌林|【Kolin 歌林】17公斤單槽變頻全自動洗衣機(BW-17V05)|21900|14630|null|20221204|品牌名稱Kolin歌林類型110V變頻單槽重量16kg~20kg內槽材質不鏽鋼+塑料顏色灰色產地中國大陸功能洗脫功能 |null|null
Home|家電|洗衣機|洗衣機類型|攜帶式洗衣機| |【SongSh】迷你洗衣機 110V小型一體家用全自動洗衣機(洗衣機)|2499|2288|null|20221204|品牌名稱產地中國大陸 |null|null
Home|家電|洗衣機|洗衣機類型|單槽洗衣機|TECO 東元|【TECO 東元】12kg DD直驅變頻直立式洗衣機(W1239XG)|15900|11270|10931|20221204|品牌名稱TECO東元類型110V變頻單槽重量11kg~15kg內槽材質不鏽鋼+塑料顏色金色產地中國大陸功能洗脫功能 |12/0220:00~12/0508:00限時最優惠↘驚喜價滿1件享97折|null
null
Home|家電|冰箱|品牌旗艦館|全商品|Panasonic 國際牌|【Panasonic 國際牌】610公升 IOT智慧家電玻璃三門變頻冰箱-曜石棕(NR-C611XGS-T)|46800|45800|41220|20221204|品牌名稱Panasonic國際牌類型三門右開變頻容量601L~800L顏色棕色/咖啡色效能1級能效 |國際牌★年末感恩！最後下殺滿1件享9折|null
Home|家電|冰箱|找款式|1級能效|MITSUBISHI 三菱電機|【MITSUBISHI 三菱電機】450L一級能效變頻三門電冰箱(MR-CGX45EP)|43900|39900|35910|20221204|品牌名稱MITSUBISHI三菱電機類型三門右開變頻容量401L~500L顏色白色效能1級能效 |12/01~12/31歲末搶GO！年末最後一波滿1件享9折|null
Home|家電|冰箱|品牌旗艦館|全商品|HITACHI 日立|【HITACHI 日立】394L一級能效變頻三門左開冰箱(RG41BL-GBW)|36900|34900|32108|20221204|品牌名稱HITACHI日立類型三門左開變頻容量351L~400L顏色棕色/咖啡色效能1級能效 |▼日立年終狂歡下殺▼滿1件享92折|null
Home|家電|冰箱|品牌旗艦館|全商品|Panasonic 國際牌|【Panasonic 國際牌】406公升 一級能效日製右開五門冰箱(NR-E417XT-N1)|50900|47900|42152|20221204|品牌名稱Panasonic國際牌類型五門右開變頻容量401L~500L顏色金色效能1級能效 |null|null
Home|家電|洗衣機|洗衣機容量|16-20公斤|Panasonic 國際牌|【Panasonic 國際牌】17公斤變頻溫水洗脫直立式洗衣機—炫銀灰(NA-V170LM-L)|26900|24900|21912|20221204|品牌名稱Panasonic國際牌類型110V變頻單槽重量16kg~20kg內槽材質不鏽鋼+塑料顏色灰色產地台灣功能洗脫功能溫水洗淨 |null|null
Home|家電|洗衣機|洗衣機周邊|洗衣機濾網|Dr.AV 聖岡科技|【Dr.AV 聖岡科技】NP-013 三洋 SYL-3 洗衣機專用濾網(卡式小)|299|189|170|20221204|品牌名稱Dr.AV聖岡科技產地台灣 |12/01~12/31家電搶go潮▼限時下殺滿1件享9折|null
Home|品牌旗艦|BOSCH博世|再也不用看老天爺臉色|滾筒洗衣機|BOSCH 博世|【BOSCH 博世】10公斤活氧滾筒式洗衣機(WAX32LH0TC)|null|69900|62910|20221204|品牌名稱BOSCH博世類型220V變頻單槽重量6kg~10kg內槽材質不鏽鋼+塑料顏色白色產地德國功能洗脫功能溫水洗淨 |null|null
Home|家電|洗衣機|洗衣機周邊|洗衣機層架| |【DIY】62x62x16cm白色不鏽鋼洗衣機墊高架(STB16-6262)|4500|4300|3870|20221204|品牌名稱產地台灣 |12/01~12/31家電搶go潮▼限時下殺滿1件享9折|null
Home|家電|冰箱|品牌旗艦館|全商品|SAMPO 聲寶|【SAMPO 聲寶】140公升一級能效定頻冰箱(SR-C14Q)|15900|11900|null|20221204|品牌名稱SAMPO聲寶類型雙門上下門右開定頻容量101L~150L顏色金色效能1級能效 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|Mabe 美寶|【Mabe 美寶】715L法式三門冰箱+濾心組(不銹鋼INM25FSKCSS+MWF濾心)|131000|119121|null|20221204|品牌名稱Mabe美寶類型雙門對開對開定頻容量601L~800L顏色銀色效能無能效標章 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|Panasonic 國際牌|【Panasonic 國際牌】500L日製六門變頻冰箱翡翠金(NR-F507HX-N1)|69900|65900|57992|20221204|品牌名稱Panasonic國際牌類型六門右開變頻容量401L~500L顏色金色效能1級能效 |null|null
Home|家電|冰櫃/冷凍櫃|儲酒櫃|iO｜Dometic|io|【io】單門單溫專業酒櫃i42SGS|40900|29900|null|20221204|品牌名稱io包裝組合48瓶以上類型單門右開顏色銀色 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|HITACHI 日立|【HITACHI 日立】407L一級能效日製變頻五門左開冰箱(RS42NJL-W)|50900|47900|44068|20221204|品牌名稱HITACHI日立類型五門左開變頻容量401L~500L顏色白色效能1級能效 |▼日立年終狂歡下殺▼滿1件享92折|null
Home|品牌旗艦|SANLUX台灣三洋|冰箱/冷凍櫃|全部商品|SANLUX 台灣三洋|【SANLUX 台灣三洋】90L直立式冷凍櫃(SCR-90A)|9190|8667|null|20221204|品牌名稱SANLUX台灣三洋類型單門左開冷凍櫃直立式容量51L~100L顏色白色功能手動除霜 |null|null
Home|品牌旗艦|Panasonic國際牌|館長推薦|感恩有禮賞|Panasonic 國際牌|【Panasonic 國際牌】13公斤變頻直立式洗衣機(NA-V130LBS-S)|null|19900|17512|20221204|品牌名稱Panasonic國際牌類型110V變頻單槽重量11kg~15kg內槽材質不鏽鋼+塑料顏色銀色產地台灣功能洗脫功能 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|HITACHI 日立|【HITACHI 日立】331L一級能效變頻三門冰箱(RG36B-GBW)|33900|31900|29348|20221204|品牌名稱HITACHI日立類型三門右開變頻容量301L~350L顏色棕色/咖啡色效能1級能效 |▼日立年終狂歡下殺▼滿1件享92折|null
Home|家電|冰箱|找款式|1級能效|MITSUBISHI 三菱電機|【MITSUBISHI 三菱】288L雙門變頻冰箱(MR-FC31EP)|19990|17990|null|20221204|品牌名稱MITSUBISHI三菱電機類型雙門上下門右開變頻容量251L~300L顏色灰色效能1級能效 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|MITSUBISHI 三菱電機|【MITSUBISHI 三菱】450L泰製一級能效變頻右開3門冰箱(MR-CGX45EP-GWH-C)|null|38900|null|20221204|品牌名稱MITSUBISHI三菱電機類型三門右開變頻容量401L~500L顏色白色效能1級能效 |null|null
Home|家電|洗衣機|洗衣機周邊|洗衣機濾網|Dr.AV 聖岡科技|【Dr.AV 聖岡科技】LG DD變頻洗衣機濾網|299|199|179|20221204|品牌名稱Dr.AV聖岡科技產地中國大陸 |12/01~12/31家電搶go潮▼限時下殺滿1件享9折|null
Home|家電|冰箱|品牌旗艦館|全商品|Panasonic 國際牌|【Panasonic 國際牌】610公升能源效率一級變頻三門冰箱(NRC611XV)|42900|39900|35112|20221204|品牌名稱Panasonic國際牌類型三門右開變頻容量601L~800L顏色黑色灰色效能1級能效 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|Mabe 美寶|【Mabe 美寶】733公升大容量對開雙門冰箱(不鏽鋼 MSM25HSHCSS)|99900|89900|null|20221204|品牌名稱Mabe美寶類型雙門對開對開定頻容量601L~800L顏色銀色效能無能效標章 |null|null
null
Home|家電|冰櫃/冷凍櫃|找容量|401L-500L|HERAN 禾聯|【HERAN 禾聯】500L 自動除霜直立式冷凍櫃(HFZ-B5011F)|36100|32800|null|20221204|品牌名稱HERAN禾聯類型單門右開冷凍櫃直立式容量401L~500L顏色灰色功能自動除霜 |null|null
Home|家電|冰箱|找容量|★小家庭★|Frigidaire 富及第|1+1特惠折:U4AAIGZWG2J3 富及第 338L1級省電美式雙門冰箱白福利品+20L微波爐(FFET1222QW+FKM-2024MB)|32790|17400|16900|20221204|品牌名稱Frigidaire富及第類型雙門上下門右開定頻容量301L~350L顏色白色效能1級能效 |null|null
Home|家電|冰箱|品牌旗艦館|國際牌|Panasonic 國際牌|【Panasonic 國際牌】610公升變頻無邊框玻璃三門冰箱(NR-C611XGS)|null|45800|40304|20221204|品牌名稱Panasonic國際牌類型三門右開變頻容量601L~800L顏色棕色/咖啡色金色效能1級能效 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|TOSHIBA 東芝|【TOSHIBA 東芝】551公升六門變頻冰箱GR-ZP550TFW(UW)|null|74900|65912|20221204|品牌名稱TOSHIBA東芝類型六門對開變頻容量501L~600L顏色白色效能1級能效 |12/01~12/31決戰雙12▼品牌限時加碼滿1件享88折|null
Home|家電|冰箱|品牌旗艦館|全商品|BOSCH 博世|【BOSCH博世】324L二級效能自選門向單門上冷藏237L下冷凍87L彩色冰箱(KGN36IJ3AD 曜岩灰)|null|72900|null|20221204|品牌名稱BOSCH博世類型雙門上下門可換左開定頻容量301L~350L顏色灰色效能2級能效 |null|null
Home|家電|洗衣機|洗衣機類型|攜帶式洗衣機| |【SongSh】迷你洗衣機 110V小型一體家用全自動洗衣機(洗衣機)|2499|2288|null|20221204|品牌名稱產地中國大陸 |null|null
Home|家電|洗衣機|洗衣機周邊|洗衣機濾網|Dr.AV 聖岡科技|【Dr.AV】東芝變頻TOB-4洗衣機濾網(NP-024)|350|299|null|20221204|品牌名稱Dr.AV聖岡科技產地台灣 |null|null
Home|家電|冰箱|找款式|三門|Panasonic 國際牌|【Panasonic 國際牌】610公升三門變頻冰箱雅士白(NR-C611XV-W)|49900|40800|35904|20221204|品牌名稱Panasonic國際牌類型三門右開變頻容量601L~800L顏色白色效能1級能效 |null|null
Home|家電|乾衣機/電子衣櫥|脫水機|全系列| |【日虹】8kg超高速塑鋼內槽沖脫水機-台灣製(RH-0800)|4000|3180|null|20221204|品牌名稱重量6kg~10kg內槽材質不鏽鋼+塑料顏色灰色產地台灣 |null|null
Home|家電|冰箱|找款式|五門以上|Panasonic 國際牌|【Panasonic 國際牌】600L日製六門變頻冰箱鑽石黑福利品只有一台(NR-F607HX-X1)|89900|75900|null|20221204|品牌名稱Panasonic國際牌類型六門右開變頻容量501L~600L顏色黑色效能1級能效 |null|null
Home|家電|冰箱|找價格|$30000以下|Panasonic 國際牌|【Panasonic 國際牌】580L雙門變頻電冰箱翡翠金(NR-B582TG-N)|39900|33490|29471|20221204|品牌名稱Panasonic國際牌類型雙門上下門右開變頻容量501L~600L顏色金色效能1級能效 |null|null
Home|家電|冰箱|國際牌|601公升↑|Panasonic 國際牌|【Panasonic 國際牌】610公升一級能效三門變頻電冰箱雅士白(NR-C611XV-W)|40900|40800|null|20221204|品牌名稱Panasonic國際牌類型三門右開變頻容量601L~800L顏色白色效能1級能效 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|BOSCH 博世|【BOSCH 博世】324L二級效能自選門向單門上冷藏237L下冷凍87L彩色冰箱(KGN36IJ3AD 靜謐藍)|null|72900|null|20221204|品牌名稱BOSCH博世類型雙門上下門可換左開定頻容量301L~350L顏色多色效能2級能效 |null|null
Home|家電|冰箱|找款式|1級能效|MITSUBISHI 三菱電機|【MITSUBISHI 三菱電機】525L一級能效變頻六門電冰箱(MR-WX53C)|73900|69900|62910|20221204|品牌名稱MITSUBISHI三菱電機類型六門對開變頻容量501L~600L顏色白色棕色/咖啡色效能1級能效 |12/01~12/31歲末搶GO！年末最後一波滿1件享9折|null
Home|家電|滾筒洗衣機|洗衣機功能|洗脫系列|BOSCH 博世|【BOSCH 博世】活氧滾筒式洗衣機 9公斤冷凝式滾筒式乾衣機 含標準安裝(WAX32LH0TC+WTG86404TC)|null|126800|null|20221204|品牌名稱BOSCH博世類型220V變頻單槽重量6kg~10kg內槽材質不鏽鋼+塑料顏色白色產地德國功能洗脫功能溫水洗淨 |null|null
Home|家電|洗衣機|洗衣機周邊|洗衣機濾網| |【洗衣機濾網】聲寶S.L大洗衣機棉絮袋濾網三入組(NP-004-3)|548|348|313|20221204|品牌名稱產地台灣 |12/01~12/31家電搶go潮▼限時下殺滿1件享9折|null
Home|家電|洗衣機|洗衣機類型|單槽洗衣機|Panasonic 國際牌|【Panasonic 國際牌】16kg 雙科技直立式變頻溫水洗衣機(NA-V160LM)|null|23900|21032|20221204|品牌名稱Panasonic國際牌類型110V變頻單槽重量16kg~20kg內槽材質不鏽鋼+塑料顏色灰色產地台灣功能洗脫功能溫水洗淨 |null|null
Home|品牌旗艦|SANLUX台灣三洋|冰箱/冷凍櫃|冷凍櫃|SANLUX 台灣三洋|【SANLUX 台灣三洋】100公升-70度超低溫上掀式冷凍櫃(TFS-100DD)|98900|95900|null|20221204|品牌名稱SANLUX台灣三洋類型單門上掀冷凍櫃臥式容量51L~100L顏色白色功能手動除霜 |null|null
Home|家電|洗衣機|洗衣機類型|變頻系列|Panasonic 國際牌|【Panasonic 國際牌】11公斤直立式變頻洗衣機(NA-V110LBS-S)|19900|16900|14872|20221204|品牌名稱Panasonic國際牌類型110V變頻單槽重量11kg~15kg內槽材質不鏽鋼+塑料顏色銀色產地台灣功能洗脫功能 |null|null
Home|家電|洗衣機|洗衣機類型|攜帶式洗衣機| |CCT0 手搖洗衣機 脫水機 -藍色(手搖洗衣機)|2999|1299|1169|20221204|品牌名稱產地其他 |12/01~12/31家電搶go潮▼限時下殺滿1件享9折|null
