app|big|mid|small|category|brand|item_name|market_price|sale_price|discount_price|date|item_specification|act
Home|家電|冰櫃/冷凍櫃|找容量|100L以下|TAIGA 大河|【TAIGA 大河】40L壁冷微霜桌上迷你型定頻右開直立式冷凍櫃(全新福利品 CB1069)|4990|4680|null|20221204|品牌名稱TAIGA大河類型單門右開冷凍櫃直立式容量0L~50L顏色白色功能手動除霜 |null|null
Home|品牌旗艦|SAMSUNG三星|生活家電|指定洗冰送好禮|SAMSUNG 三星|【SAMSUNG 三星】258L一級能效變頻右開雙門冰箱(RT25M4015S8/TW)|19900|16900|13900|20221204|品牌名稱SAMSUNG三星類型雙門上下門右開變頻容量251L~300L顏色銀色效能1級能效 |12/01~12/31家電搶go潮▼限時下殺滿1件折3000|null
Home|家電|冰箱|品牌旗艦館|全商品|TATUNG 大同|【家電速配★TATUNG 大同】250L變頻雙門冰箱(TR-B1255VHR)|null|16900|12612|20221204|品牌名稱TATUNG大同類型雙門上下門右開變頻容量201L~250L顏色金色效能1級能效 |null|null
Home|家電|滾筒洗衣機|洗衣機容量|11~15公斤|TOSHIBA 東芝|【家電速配★TOSHIBA 東芝】12公斤時尚變頻滾筒洗脫烘洗衣機(TWD-BJ123S4G)|24900|21900|18900|20221204|品牌名稱TOSHIBA東芝類型110V變頻單槽重量11kg~15kg內槽材質全不鏽鋼顏色銀色產地中國大陸功能洗脫烘功能溫水洗淨 |12/01~12/31家電搶go潮▼限時下殺滿1件折3000|null
Home|家電|洗衣機|洗衣機類型|單槽洗衣機|Whirlpool 惠而浦|【家電速配★Whirlpool 惠而浦】7公斤 定頻直立洗衣機(WM07PW)|8100|7200|5212|20221204|品牌名稱Whirlpool惠而浦類型110V定頻單槽重量6kg~10kg內槽材質不鏽鋼+塑料顏色白色產地中國大陸功能洗脫功能 |null|null
Home|家電|洗衣機|洗衣機容量|16-20公斤|LG 樂金|【LG 樂金】17公斤◆WiFi第3代DD變頻直立式洗衣機-極光黑(WT-D179BG)|23900|20900|18810|20221204|品牌名稱LG樂金類型110V變頻單槽重量16kg~20kg內槽材質全不鏽鋼顏色黑色產地其他功能洗脫功能 |null|null
Home|品牌旗艦|SAMPO聲寶|大型家電|洗/乾衣機|SAMPO 聲寶|【SAMPO 聲寶】17KG 金級省水 變頻 直立式洗衣機(WM-MD17)|17900|16490|13812|20221204|品牌名稱SAMPO聲寶類型110V變頻單槽重量16kg~20kg內槽材質不鏽鋼+塑料顏色黑色白色產地中國大陸功能洗脫功能 |12/01~12/31家電搶go潮▼品牌下殺滿1件折2678|null
Home|品牌旗艦|Panasonic國際牌|館長推薦|感恩有禮賞|Panasonic 國際牌|【Panasonic 國際牌】17公斤變頻直立式洗衣機-炫銀灰(NA-V170GT-L)|null|20900|18810|20221204|品牌名稱Panasonic國際牌類型110V變頻單槽重量16kg~20kg內槽材質不鏽鋼+塑料顏色灰色產地台灣功能洗脫功能 |12/01~12/31家電搶go潮▼限時下殺滿1件折2090|null
Home|品牌旗艦|SAMSUNG三星|生活家電|指定洗冰送好禮|SAMSUNG 三星|【SAMSUNG 三星】17KG Wi-Fi SmartThings洗脫烘變頻滾筒洗衣機(WD17N7510KW/TW)|44900|39490|29900|20221204|品牌名稱SAMSUNG三星類型110V變頻單槽重量16kg~20kg內槽材質不鏽鋼+塑料顏色白色產地越南功能洗脫烘功能溫水洗淨 |家電搶GO潮★破盤價滿1件折9590|null
Home|家電|冰櫃/冷凍櫃|找容量|101L-200L|TATUNG 大同|【TATUNG 大同】154公升直立式冷凍櫃(TR-150SFH)|11900|10900|8512|20221204|品牌名稱TATUNG大同類型單門右開冷凍櫃直立式容量151L~200L顏色白色功能自動除霜 |null|null
Home|家電|冰箱|找容量|★小空間★|TATUNG 大同|【家電速配★TATUNG 大同】158L繽紛鮮獨享單門冰箱-絲絨銀(TR-A2160SLHR)|8990|7690|6990|20221204|品牌名稱TATUNG大同類型單門右開定頻容量151L~200L顏色銀色效能2級能效 |null|null
Home|家電|洗衣機|品牌旗艦館|惠而浦|Whirlpool 惠而浦|【Whirlpool 惠而浦】6.8公斤定頻直立洗衣機(WM68BG)|7000|6400|5012|20221204|品牌名稱Whirlpool惠而浦類型110V定頻單槽重量6kg~10kg內槽材質不鏽鋼+塑料顏色銀色產地中國大陸功能洗脫功能 |null|null
Home|家電|冰櫃/冷凍櫃|找容量|201L-300L|Victor 勝利|【家電速配★Victor 勝利】210公升單門臥式冷凍櫃MCF-210(上掀式)|8590|6990|6411|20221204|品牌名稱Victor勝利類型單門上掀冷凍櫃臥式容量201L~250L顏色白色功能手動除霜 |null|null
Home|品牌旗艦|Whirlpool惠而浦|洗衣機/乾衣機|全系列|Whirlpool 惠而浦|【家電速配★Whirlpool 惠而浦】13公斤◆DD直驅變頻直立洗衣機(WV13DG)|17200|15700|11999|20221204|品牌名稱Whirlpool惠而浦類型110V變頻單槽重量11kg~15kg內槽材質全不鏽鋼顏色金色產地其他功能洗脫功能 |精選品牌↘限時特賣滿1件折3701|null
Home|家電|洗衣機|洗衣機類型|單槽洗衣機|Kolin 歌林|【Kolin 歌林】11KG單槽變頻洗衣機-鐵灰BW-11V01(含基本運送安裝+舊機回收)|8990|8690|8299|20221204|品牌名稱Kolin歌林類型110V變頻單槽重量11kg~15kg內槽材質不鏽鋼+塑料顏色灰色產地中國大陸功能洗脫功能 |12/01~12/31家電搶go潮▼限時下殺滿1件折391|null
Home|家電|洗衣機|品牌旗艦館|IDEAL愛迪爾|IDEAL 愛迪爾|【IDEAL 愛迪爾】4.2公斤洗脫定頻直立式雙槽迷你洗衣機-紫色機/灰色機(E0731/E0731G)|4980|2980|2580|20221204|品牌名稱IDEAL愛迪爾類型110V定頻雙槽重量0kg~5kg內槽材質不鏽鋼+塑料顏色灰色紫色產地中國大陸功能洗脫功能 |愛迪爾精選★下單享折扣滿1件折400|null
Home|家電|冰箱|找價格|$9999以下|TECO 東元|【TECO 東元】165公升 二級能效定頻右開雙門冰箱(R1801HS)|14900|9900|null|20221204|品牌名稱TECO東元類型雙門上下門右開定頻容量151L~200L顏色灰色效能2級能效 |null|null
null
Home|家電|冰箱|品牌旗艦館|全商品|HITACHI 日立|【HITACHI 日立】313L一級能效變頻右開雙門冰箱(RBX330-GPW)|28900|25900|23828|20221204|品牌名稱HITACHI日立類型雙門上下門右開變頻容量301L~350L顏色白色效能1級能效 |▼日立年終狂歡下殺▼滿1件享92折|null
Home|家電|洗衣機|洗衣機類型|雙槽洗衣機|TAIGA 大河|【TAIGA 大河】第二代殺菌光 迷你雙槽直立式洗衣機(全新福利品 TAG-CB1062)|4680|2380|null|20221204|品牌名稱TAIGA大河類型110V定頻雙槽重量0kg~5kg內槽材質塑料顏色藍色產地中國大陸功能洗脫功能 |null|null
Home|家電|冰箱|找款式|定頻|SAMPO 聲寶|【SAMPO 聲寶】71公升二級能效獨享系列精緻單門小冰箱(SR-B07)|6590|5210|null|20221204|品牌名稱SAMPO聲寶類型單門右開定頻容量51L~100L顏色銀色效能2級能效 |null|null
Home|家電|洗衣機|洗衣機類型|攜帶式洗衣機| |新可脫水定時藍光抗菌摺疊洗衣機(升級附脫水/洗衣/清潔/外宿/摺疊洗衣機/洗衣神器)|2999|1239|1115|20221204|品牌名稱產地中國大陸 |12/01~12/31家電搶go潮▼限時下殺滿1件享9折|null
Home|品牌旗艦|LG樂金|洗衣機/乾衣機|免曬衣乾衣機|LG 樂金|【家電速配★LG 樂金】9公斤◆WiFi變頻免曬衣乾衣機◆冰磁白(WR-90VW)|39900|37900|34110|20221204|品牌名稱LG樂金類型110V電動重量6kg~10kg內槽材質不鏽鋼+塑料顏色白色產地韓國 |null|null
Home|品牌旗艦|SANLUX台灣三洋|洗衣機/乾衣機|全部商品|SANLUX 台灣三洋|【SANLUX 台灣三洋】7Kg定頻洗衣機(ASW-70MA)|7600|7000|6720|20221204|品牌名稱SANLUX台灣三洋類型110V定頻單槽重量6kg~10kg內槽材質不鏽鋼+塑料顏色白色產地中國大陸功能洗脫功能 |12/01~12/14家電搶go潮▼限時下殺滿1件享96折|null
Home|品牌旗艦|Whirlpool惠而浦|洗衣機/乾衣機|全系列|Whirlpool 惠而浦|【家電速配★Whirlpool 惠而浦】16公斤變頻直立洗衣機(WV16DS)|21000|19100|13900|20221204|品牌名稱Whirlpool惠而浦類型110V變頻單槽重量16kg~20kg內槽材質不鏽鋼+塑料顏色銀色產地中國大陸功能洗脫功能 |精選品牌↘限時特賣滿1件折5200|null
Home|家電|冰箱|品牌旗艦館|全商品|HITACHI 日立|【HITACHI 日立】313L一級能效變頻右開雙門冰箱(RBX330-XGR)|27900|25900|23828|20221204|品牌名稱HITACHI日立類型雙門上下門右開變頻容量301L~350L顏色黑色效能1級能效 |▼日立年終狂歡下殺▼滿1件享92折|null
Home|家電|滾筒洗衣機|洗衣機功能|洗脫系列|Whirlpool 惠而浦|【家電速配★Whirlpool 惠而浦】10.5公斤 Essential Clean變頻滾筒洗衣機(FWEB10501BS)|15000|13700|10900|20221204|品牌名稱Whirlpool惠而浦類型110V變頻單槽重量6kg~10kg內槽材質全不鏽鋼顏色銀色產地中國大陸功能洗脫功能溫水洗淨 |精選品牌↘限時特賣滿1件折2800|null
Home|品牌旗艦|Panasonic國際牌|館長推薦|感恩有禮賞|Panasonic 國際牌|【Panasonic 國際牌】12公斤溫水洗脫烘滾筒洗衣機-晶漾銀(NA-V120HDH-G)|26900|24900|21900|20221204|品牌名稱Panasonic國際牌類型110V變頻單槽重量11kg~15kg內槽材質全不鏽鋼顏色銀色產地中國大陸功能洗脫烘功能溫水洗淨 |null|null
Home|家電|滾筒洗衣機|品牌旗艦館|LG樂金|LG 樂金|【家電速配★LG 樂金】15公斤◆WiFi蒸洗脫變頻滾筒洗衣機◆冰磁白(WD-S15TBW)|33900|31900|28710|20221204|品牌名稱LG樂金類型110V變頻單槽重量11kg~15kg內槽材質全不鏽鋼顏色白色產地其他功能洗脫功能蒸氣功能 |null|null
Home|家電|洗衣機|洗衣機功能|洗脫烘系列|LG 樂金|【LG 樂金】9公斤◆WiFi蒸氣洗脫烘變頻滾筒洗衣機(WD-S90VDW)|28900|22900|20610|20221204|品牌名稱LG樂金類型110V變頻單槽重量6kg~10kg內槽材質全不鏽鋼顏色白色產地中國大陸功能洗脫烘功能蒸氣功能 |null|null
Home|家電|冰櫃/冷凍櫃|找款式|直立式|Panasonic 國際牌|【Panasonic 國際牌】242L直立式冷凍櫃(NR-FZ250A-S)|22590|21590|18999|20221204|品牌名稱Panasonic國際牌類型單門右開冷凍櫃直立式容量201L~250L顏色銀色功能自動除霜 |null|null
Home|品牌旗艦|Panasonic國際牌|館長推薦|感恩有禮賞|Panasonic 國際牌|【Panasonic 國際牌】12公斤雙槽大容量洗衣機-瓷灰白(NA-W120G1)|10990|10690|9407|20221204|品牌名稱Panasonic國際牌類型110V定頻雙槽重量11kg~15kg內槽材質不鏽鋼+塑料顏色白色產地印尼功能洗脫功能 |null|null
